NestID,Structure Type,Structure ID,Maximum Width,Notes
A_floridana7,Chamber,C5,3,
A_floridana7,Chamber,C6,2.7,
A_floridana7,Chamber,C7,3.6,
A_floridana8,Chamber,C1,2.3,
A_floridana8,Chamber,C2,3.6,
A_floridana8,Chamber,C3,7,
A_floridana8,Chamber,C4,6,
A_floridana9,Chamber,C1,4.3,
A_floridana9,Chamber,C2,4.7,
A_floridana9,Chamber,C3,3.4,
A_floridana9,Chamber,C4,5.8,
A_floridana9,Chamber,C5,4.9,
A_floridana9,Chamber,C6,6.7,
A_floridana9,Chamber,C7,3.9,
A_landolti_1T,Chamber,C1,12,
A_landolti_1T,Chamber,C2,12,
A_landolti_1T,Chamber,C3,12,
A_landolti_1T,Chamber,C4,12,
A_landolti_1T,Chamber,C5,12,
A_landolti_1T,Chamber,C6,12,
A_landolti_1T,Chamber,C7,12,
A_landolti_1T,Chamber,C8,12,
A_landolti_2T,Chamber,C1,19.1,
A_landolti_2T,Chamber,C2,19.1,
A_landolti_2T,Chamber,C3,19.1,
A_landolti_2T,Chamber,C4,19.1,
A_landolti_2T,Chamber,C5,19.1,
A_landolti_2T,Chamber,C6,19.1,
A_landolti_2T,Chamber,C7,19.1,
A_landolti_2T,Chamber,C8,19.1,
A_landolti_2T,Chamber,C9,19.1,
A_landolti_2T,Chamber,C10,19.1,
A_landolti_2T,Chamber,C11,19.1,
A_landolti_2T,Chamber,C12,19.1,
A_landolti_2T,Chamber,C13,19.1,
A_landolti_2T,Chamber,C14,19.1,
A_landolti_2T,Chamber,C15,19.1,
A_landolti_2T,Chamber,C16,19.1,
A_landolti_2T,Chamber,C17,19.1,
A_landolti_3T,Chamber,C1,15.6,
A_landolti_3T,Chamber,C2,15.6,
A_landolti_3T,Chamber,C3,15.6,
A_landolti_3T,Chamber,C4,15.6,
A_landolti_3T,Chamber,C5,15.6,
A_landolti_3T,Chamber,C6,15.6,
A_landolti_3T,Chamber,C7,15.6,
A_landolti_4T,Chamber,C1,8.1,
A_landolti_4T,Chamber,C2,8.1,
A_landolti_4T,Chamber,C3,8.1,
A_landolti_4T,Chamber,C4,8.1,
A_landolti_4T,Chamber,C5,8.1,
A_landolti_4T,Chamber,C6,8.1,
A_landolti_4T,Chamber,C7,8.1,
A_landolti_5T,Chamber,C1,8.2,
A_landolti_5T,Chamber,C2,8.2,
A_landolti_5T,Chamber,C3,8.2,
A_landolti_5T,Chamber,C4,8.2,
A_landolti_5T,Chamber,C5,8.2,
A_landolti_6T,Chamber,C1,10.5,
A_landolti_6T,Chamber,C2,10.5,
A_landolti_6T,Chamber,C3,10.5,
A_landolti_6T,Chamber,C4,10.5,
A_landolti_6T,Chamber,C5,10.5,
A_landolti_6T,Chamber,C6,10.5,
A_landolti_7T,Chamber,C1,17,
A_landolti_7T,Chamber,C2,17,
A_landolti_7T,Chamber,C3,17,
A_landolti_7T,Chamber,C4,17,
A_subterraneus_T1,Chamber,C1,82,
A_subterraneus_T1r,Chamber,C1,17,
A_subterraneus_T2,Chamber,C1,83,
A_subterraneus_T2r,Chamber,C1,17,
A_subterraneus_T3,Chamber,C1,110,
A_subterraneus_T3r,Chamber,C1,14,
A_subterranus_C1,Chamber,C1,23.3,
A_subterranus_C1,Chamber,C2,23.3,
A_subterranus_C1,Chamber,C3,23.3,
A_subterranus_C1,Chamber,C4,23.3,
A_subterranus_C1r,Chamber,C1,23.5,
A_subterranus_C2,Chamber,C1,37.3,
A_subterranus_C2,Chamber,C2,37.3,
A_subterranus_C2,Chamber,C3,37.3,
A_subterranus_C2r,Chamber,C1,130,
A_subterranus_C3,Chamber,C1,34,
A_subterranus_C3,Chamber,C2,34,
A_treatae28,Chamber,C1,5.5,
A_treatae28,Chamber,C2,5.2,
A_treatae29,Chamber,C1,7.5,
A_treatae29,Chamber,C2,3.2,
A_treatae29,Chamber,C3,5.8,
A_treatae29,Chamber,C4,3,
A_treatae29,Chamber,C5,4.3,
A_treatae30,Chamber,C1,3.1,
A_treatae30,Chamber,C2,3.7,
A_treatae30,Chamber,C3,2.7,
A_treatae30,Chamber,C4,4.4,
A_treatae30,Chamber,C5,5,
A_treatae30,Chamber,C6,3.9,
A_treatae30,Chamber,C7,2.4,
A_treatae31,Chamber,C1,4.3,
A_treatae31,Chamber,C2,2.2,
A_treatae31,Chamber,C3,2.7,
A_treatae34,Chamber,C1,3.9,
A_treatae34,Chamber,C2,2.2,
A_treatae35,Chamber,C1,4.8,
A_treatae35,Chamber,C2,4.8,
A_treatae36,Chamber,C1,5.3,
A_treatae36,Chamber,C2,2,
A_treatae37,Chamber,C1,3.8,
A_treatae37,Chamber,C2,3.2,
A_treatae37,Chamber,C3,4.1,
A_treatae38a,Chamber,C1,2.1,
A_treatae38a,Chamber,C2,2.4,
A_treatae38a,Chamber,C3,3.3,
A_treatae38a,Chamber,C4,4,
A_treatae38a,Chamber,C5,5.7,
