Species Name,Specimen Name,Link to image,Head width at eyes,Max head width (if different),Mandible Width,Link to image,Head length,Weber's length
Ectatomma brunneum,CASENT0922398,https://www.antweb.org/bigPicture.do?code=casent0922398&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0922398&shot=p&number=1&project=allantwebants,2.18,4.57
Ectatomma brunneum,CASENT0922399,https://www.antweb.org/bigPicture.do?code=casent0922399&shot=h&number=1&project=allantwebants,2.5,,1.87,https://www.antweb.org/bigPicture.do?code=casent0922399&shot=p&number=1&project=allantwebants,2.31,3.8
Ectatomma brunneum,ECOFOG-SAV18-0001-02,https://www.antweb.org/bigPicture.do?code=ecofog-sav18-0001-02&shot=h&number=1&project=allantwebants,2.52,,1.92,https://www.antweb.org/bigPicture.do?code=ecofog-sav18-0001-02&shot=p&number=1&project=allantwebants,2.45,3.98
Ectatomma brunneum,FMNHINS0000047530,https://www.antweb.org/bigPicture.do?code=fmnhins0000047530&shot=h&number=1&project=allantwebants,2.2,,1.66,https://www.antweb.org/bigPicture.do?code=fmnhins0000047530&shot=p&number=1&project=allantwebants,1.89,3.22
Ectatomma brunneum,USNMENT01124231,https://www.antweb.org/bigPicture.do?code=usnment01124231&shot=h&number=1&project=allantwebants,2.15,,1.54,https://www.antweb.org/bigPicture.do?code=usnment01124231&shot=p&number=1&project=allantwebants,2.03,3.25
Forelius sp.,,,,,,,,
Formica japonica,ANTWEB1008413,https://www.antweb.org/bigPicture.do?code=antweb1008413&shot=h&number=1&project=allantwebants,1.76,,1.15,https://www.antweb.org/bigPicture.do?code=antweb1008413&shot=p&number=1&project=allantwebants,1.63,3.45
Formica japonica,ANTWEB1008415,https://www.antweb.org/bigPicture.do?code=antweb1008415&shot=h&number=1&project=allantwebants,,,0.88,https://www.antweb.org/bigPicture.do?code=antweb1008415&shot=p&number=1&project=allantwebants,1.28,2.26
Formica japonica,CASENT0280389,https://www.antweb.org/bigPicture.do?code=casent0280389&shot=h&number=1&project=allantwebants,1.48,,1.05,https://www.antweb.org/bigPicture.do?code=casent0280389&shot=p&number=1&project=allantwebants,1.23,2.21
Formica japonica,CASENT0280390,https://www.antweb.org/bigPicture.do?code=casent0280390&shot=h&number=1&project=allantwebants,1.26,,0.93,https://www.antweb.org/bigPicture.do?code=casent0280390&shot=p&number=1&project=allantwebants,1.4,2.41
Veromessor pergandei,CASENT0005733,https://www.antweb.org/bigPicture.do?code=casent0005733&shot=h&number=1&project=allantwebants,1.89,,1.32,https://www.antweb.org/bigPicture.do?code=casent0005733&shot=p&number=1&project=allantwebants,1.76,2.41
Veromessor pergandei,CASENT0919791,https://www.antweb.org/bigPicture.do?code=casent0919791&shot=h&number=1&project=allantwebants,1.78,,1.26,https://www.antweb.org/bigPicture.do?code=casent0919791&shot=p&number=1&project=allantwebants,1.77,2.05
Veromessor pergandei,CASENT0922826,https://www.antweb.org/bigPicture.do?code=casent0922826&shot=h&number=1&project=allantwebants,4.82,,3.58,https://www.antweb.org/bigPicture.do?code=casent0922826&shot=p&number=1&project=allantwebants,1.65,2.31
Veromessor pergandei,CASENT0922827,https://www.antweb.org/bigPicture.do?code=casent0922827&shot=h&number=1&project=allantwebants,5.22,,,https://www.antweb.org/bigPicture.do?code=casent0922827&shot=p&number=1&project=allantwebants,1.87,2.38
Veromessor pergandei,CASENT093124,https://www.antweb.org/bigPicture.do?code=casent0923124&shot=h&number=1&project=allantwebants,1.77,,1.12,https://www.antweb.org/bigPicture.do?code=casent0923124&shot=p&number=1&project=allantwebants,1.61,2.12
Veromessor pergandei,USNMENT00531691,https://www.antweb.org/bigPicture.do?code=usnment00531691&shot=h&number=1&project=allantwebants,1.73,,1.18,https://www.antweb.org/bigPicture.do?code=usnment00531691&shot=p&number=1&project=allantwebants,1.79,2.45
Mycetagroicus inflatus,ANTWEB1008120,https://www.antweb.org/bigPicture.do?code=antweb1008120&shot=h&number=1&project=allantwebants,0.6,,0.34,https://www.antweb.org/bigPicture.do?code=antweb1008120&shot=p&number=1&project=allantwebants,0.51,1.12
Mycetarotes acutus,ECOFOG-TR17-0175-08,https://www.antweb.org/bigPicture.do?code=ecofog-tr17-0175-08&shot=h&number=1&project=allantwebants,0.95,,0.67,https://www.antweb.org/bigPicture.do?code=ecofog-tr17-0175-08&shot=p&number=1&project=allantwebants,1.03,1.35
Mycetarotes parallelus,CASEN0173983,https://www.antweb.org/bigPicture.do?code=casent0173983&shot=h&number=1&project=allantwebants,0.93,,0.66,https://www.antweb.org/bigPicture.do?code=casent0173983&shot=p&number=1&project=allantwebants,0.95,1.36
Mycetarotes parallelus,CASENT0904983,https://www.antweb.org/bigPicture.do?code=casent0904983&shot=h&number=1&project=allantwebants,,,0.53,https://www.antweb.org/bigPicture.do?code=casent0904983&shot=p&number=1&project=allantwebants,0.82,1.16
Mycetarotes parallelus,CASENT0909385,https://www.antweb.org/bigPicture.do?code=casent0909385&shot=h&number=1&project=allantwebants,0.84,,0.59,https://www.antweb.org/bigPicture.do?code=casent0909385&shot=p&number=1&project=allantwebants,0.84,1.2
Mycetarotes parallelus,CASENT0010817,https://www.antweb.org/bigPicture.do?code=casent0010817&shot=h&number=1&project=allantwebants,0.91,,0.64,https://www.antweb.org/bigPicture.do?code=casent0010817&shot=p&number=1&project=allantwebants,0.81,1.15
Mycetophylax simplex,USNMENT00445505,https://www.antweb.org/bigPicture.do?code=usnment00445505&shot=h&number=1&project=allantwebants,0.99,,0.67,https://www.antweb.org/bigPicture.do?code=usnment00445505&shot=p&number=1&project=allantwebants,0.97,1.26
Mycocepurus goeldii,CASENT0173988,https://www.antweb.org/bigPicture.do?code=casent0173988&shot=h&number=1&project=allantwebants,0.88,,0.53,https://www.antweb.org/bigPicture.do?code=casent0173988&shot=p&number=1&project=allantwebants,0.75,0.98
Mycocepurus goeldii,CASENT0904975,https://www.antweb.org/bigPicture.do?code=casent0904975&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0904975&shot=p&number=1&project=allantwebants,0.73,0.95
Mycocepurus goeldii,CASENT0909358,https://www.antweb.org/bigPicture.do?code=casent0909358&shot=h&number=1&project=allantwebants,0.9,,0.59,https://www.antweb.org/bigPicture.do?code=casent0909358&shot=p&number=1&project=allantwebants,0.73,0.97
Mycocepurus goeldii,CASENT0912511,https://www.antweb.org/bigPicture.do?code=casent0912511&shot=h&number=1&project=allantwebants,0.89,,0.58,https://www.antweb.org/bigPicture.do?code=casent0912511&shot=p&number=1&project=allantwebants,0.82,1.13
Mycocepurus goeldii,CASENT0912512,https://www.antweb.org/bigPicture.do?code=casent0912512&shot=h&number=1&project=allantwebants,0.79,,,https://www.antweb.org/bigPicture.do?code=casent0912512&shot=p&number=1&project=allantwebants,0.68,0.88
Mycocepurus goeldii,CASENT0917842,https://www.antweb.org/bigPicture.do?code=casent0917842&shot=h&number=1&project=allantwebants,0.82,,,https://www.antweb.org/bigPicture.do?code=casent0917842&shot=p&number=1&project=allantwebants,0.71,0.91
Mycocepurus goeldii,CASENT0922152,https://www.antweb.org/bigPicture.do?code=casent0922152&shot=h&number=1&project=allantwebants,0.83,,0.55,https://www.antweb.org/bigPicture.do?code=casent0922152&shot=p&number=1&project=allantwebants,0.84,1.07
Mycocepurus goeldii,ECOFOG-OI17-0208-02,https://www.antweb.org/bigPicture.do?code=ecofog-oi17-0208-02&shot=h&number=1&project=allantwebants,0.82,,0.51,https://www.antweb.org/bigPicture.do?code=ecofog-oi17-0208-02&shot=p&number=1&project=allantwebants,,0.9
Mycocepurus smithii,CASENT0173989,https://www.antweb.org/bigPicture.do?code=casent0173989&shot=h&number=1&project=allantwebants,0.68,,0.45,https://www.antweb.org/bigPicture.do?code=casent0173989&shot=p&number=1&project=allantwebants,0.57,0.79
Mycocepurus smithii,CASENT0179467,https://www.antweb.org/bigPicture.do?code=casent0179467&shot=h&number=1&project=allantwebants,0.62,,0.42,https://www.antweb.org/bigPicture.do?code=casent0179467&shot=p&number=1&project=allantwebants,0.61,0.86
Mycocepurus smithii,CASENT0729773,https://www.antweb.org/bigPicture.do?code=casent0729773&shot=h&number=1&project=allantwebants,0.67,,,https://www.antweb.org/bigPicture.do?code=casent0729773&shot=p&number=1&project=allantwebants,0.74,0.91
Mycocepurus smithii,CASENT0909356,https://www.antweb.org/bigPicture.do?code=casent0909356&shot=h&number=1&project=allantwebants,0.68,,0.44,https://www.antweb.org/bigPicture.do?code=casent0909356&shot=p&number=1&project=allantwebants,0.59,0.8
Mycocepurus smithii,CASENT0909357,https://www.antweb.org/bigPicture.do?code=casent0909357&shot=h&number=1&project=allantwebants,0.7,,0.45,https://www.antweb.org/bigPicture.do?code=casent0909357&shot=p&number=1&project=allantwebants,0.62,0.88
Mycocepurus smithii,CASENT0922153,https://www.antweb.org/bigPicture.do?code=casent0922153&shot=h&number=1&project=allantwebants,0.66,,0.43,https://www.antweb.org/bigPicture.do?code=casent0922153&shot=p&number=1&project=allantwebants,0.66,0.87
Mycocepurus smithii,ECOFOG-IT14-0265-39,https://www.antweb.org/bigPicture.do?code=ecofog-it14-0265-39&shot=h&number=1&project=allantwebants,0.61,,0.41,https://www.antweb.org/bigPicture.do?code=ecofog-it14-0265-39&shot=p&number=1&project=allantwebants,0.53,0.79
Mycocepurus smithii,USNMENT01124242,https://www.antweb.org/bigPicture.do?code=usnment01124242&shot=h&number=1&project=allantwebants,0.65,,,https://www.antweb.org/bigPicture.do?code=usnment01124242&shot=p&number=1&project=allantwebants,0.58,0.83
Myrmecia dispar,JDM32-002441,https://www.antweb.org/bigPicture.do?code=jdm32-002441&shot=h&number=1&project=allantwebants,2.15,,1.45,https://www.antweb.org/bigPicture.do?code=jdm32-002441&shot=p&number=1&project=allantwebants,2.04,3.76
Myrmecocystus navajo,CASENT0005422,https://www.antweb.org/bigPicture.do?code=casent0005422&shot=h&number=1&project=allantwebants,1.07,,0.7,https://www.antweb.org/bigPicture.do?code=casent0005422&shot=p&number=1&project=allantwebants,1.25,1.81
Myrmecocystus navajo,CASENT0102816,https://www.antweb.org/bigPicture.do?code=casent0102816&shot=h&number=1&project=allantwebants,1.17,,0.75,https://www.antweb.org/bigPicture.do?code=casent0102816&shot=p&number=1&project=allantwebants,1.19,2.02
Myrmecocystus navajo,CASENT0102817,https://www.antweb.org/bigPicture.do?code=casent0102817&shot=h&number=1&project=allantwebants,0.89,,0.51,https://www.antweb.org/bigPicture.do?code=casent0102817&shot=p&number=1&project=allantwebants,0.87,1.55
Myrmecocystus navajo,CASENT0280532,https://www.antweb.org/bigPicture.do?code=casent0280532&shot=h&number=1&project=allantwebants,0.95,,0.59,https://www.antweb.org/bigPicture.do?code=casent0280532&shot=p&number=1&project=allantwebants,1.08,1.56
Myrmecocystus navajo,CASENT0280533,https://www.antweb.org/bigPicture.do?code=casent0280533&shot=h&number=1&project=allantwebants,0.85,,0.52,https://www.antweb.org/bigPicture.do?code=casent0280533&shot=p&number=1&project=allantwebants,0.94,1.48
Myrmecocystus navajo,CASENT0923356,https://www.antweb.org/bigPicture.do?code=casent0923356&shot=h&number=1&project=allantwebants,0.97,,0.64,https://www.antweb.org/bigPicture.do?code=casent0923356&shot=p&number=1&project=allantwebants,1.11,1.68
Odontomachus brunneus,ANTWEB1041404,https://www.antweb.org/bigPicture.do?code=antweb1041404&shot=h&number=1&project=allantwebants,1.91,,1.06,https://www.antweb.org/bigPicture.do?code=antweb1041404&shot=p&number=1&project=allantwebants,2.48,2.92
Odontomachus brunneus,ANTWEB1041422,https://www.antweb.org/bigPicture.do?code=antweb1041422&shot=h&number=1&project=allantwebants,1.63,,0.86,https://www.antweb.org/bigPicture.do?code=antweb1041422&shot=p&number=1&project=allantwebants,2.09,2.42
Odontomachus brunneus,CASENT0104165,https://www.antweb.org/bigPicture.do?code=casent0104165&shot=h&number=1&project=allantwebants,1.64,,,https://www.antweb.org/bigPicture.do?code=casent0104165&shot=p&number=1&project=allantwebants,2.14,2.83
Odontomachus brunneus,CASENT0270600,https://www.antweb.org/bigPicture.do?code=casent0270600&shot=h&number=1&project=allantwebants,1.83,,0.67,https://www.antweb.org/bigPicture.do?code=casent0270600&shot=p&number=1&project=allantwebants,2.37,2.83
Odontomachus brunneus,CASENT0270601,https://www.antweb.org/bigPicture.do?code=casent0270601&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0270601&shot=p&number=1&project=allantwebants,2.02,2.32
Odontomachus brunneus,CASENT0649078,https://www.antweb.org/bigPicture.do?code=casent0649078&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0649078&shot=p&number=1&project=allantwebants,2.47,2.69
Odontomachus brunneus,CASENT0649761,https://www.antweb.org/bigPicture.do?code=casent0649761&shot=h&number=1&project=allantwebants,1.54,,0.49,https://www.antweb.org/bigPicture.do?code=casent0649761&shot=p&number=1&project=allantwebants,1.98,2.47
Odontomachus brunneus,USNMENT0044567,https://www.antweb.org/bigPicture.do?code=usnment00445671&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=usnment00445671&shot=p&number=1&project=allantwebants,1.91,2.3
Odontomachus chelifer,ANTWEB1041409,https://www.antweb.org/bigPicture.do?code=antweb1041409&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=antweb1041409&shot=p&number=1&project=allantwebants,3.75,4.38
Odontomachus chelifer,CASENT0173536,https://www.antweb.org/bigPicture.do?code=casent0173536&shot=h&number=1&project=allantwebants,2.79,,0.98,https://www.antweb.org/bigPicture.do?code=casent0173536&shot=p&number=1&project=allantwebants,3.75,4.85
Odontomachus chelifer,CASENT0178692,https://www.antweb.org/bigPicture.do?code=casent0178692&shot=h&number=1&project=allantwebants,2.9,,0.97,https://www.antweb.org/bigPicture.do?code=casent0178692&shot=p&number=1&project=allantwebants,3.88,4.89
Odontomachus chelifer,CASENT0270602,https://www.antweb.org/bigPicture.do?code=casent0270602&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0270602&shot=p&number=1&project=allantwebants,4.17,5.08
Odontomachus chelifer,CASENT0907426,https://www.antweb.org/bigPicture.do?code=casent0907426&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0907426&shot=p&number=1&project=allantwebants,3.9,4.57
Odontomachus chelifer,CASENT0915242,https://www.antweb.org/bigPicture.do?code=casent0915242&shot=h&number=1&project=allantwebants,,,,https://www.antweb.org/bigPicture.do?code=casent0915242&shot=p&number=1&project=allantwebants,2.96,3.83
Pachycondyla striata,CASENT0178185,https://www.antweb.org/bigPicture.do?name=casent0178185&shot=h&number=1,2.92,,2.06,https://www.antweb.org/bigPicture.do?name=casent0178185&shot=p&number=1,2.81,4.97
